"来源系统","归类","文件","大小KB","最近修改时间","吸收建议"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\通知模块.py","2.72","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\行动模块.py","5.34","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\03_股票分析资产\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\智能问答.py","2.74","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\感知模块.py","5.08","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\股票监控.py","5.2","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\记忆模块.py","5.86","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\决策模块.py","4.83","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\每日简报.py","3.22","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\命令服务器.py","3.07","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\通知模块.py","2.72","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\行动模块.py","5.34","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\00杰哥系统总管\07文档\n8n工作流设置\股票脚本_待分析\智能问答.py","2.74","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\感知模块.py","5.08","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\股票监控.py","5.2","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\记忆模块.py","5.86","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\决策模块.py","4.83","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
"F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426","股票研究","F:\系统备份\20260425全量备份\系统文件备份\老系统可复用资产_20260426\04_n8n工作流与备份\01杰哥智能系统\07文档\n8n工作流设置\股票脚本_待分析\每日简报.py","3.22","2026/4/17 21:40:43","只读审阅后决定复用、重构或弃用"
